movie_id,title,genre,experience_type,year,rating_percent,popularity_score,age_limit,tags,synopsis,director,cast,keywords,combined_features
11,Interstellar,Sci-Fi|Drama|Adventure,emotional,2014,85,0.9,13,cult,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival on a dying Earth.,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain","team, earth, adventure, travel, sci-fi, wormhole, drama, ensure, through, dying, survival, explorers, humanity",scifidramaadventure scifidramaadventure scifidramaadventure emotional emotional christophernolan christophernolan christophernolan christophernolan matthewmcconaughey annehathaway jessicachastain matthewmcconaughey annehathaway jessicachastain team earth adventure travel scifi wormhole drama ensure dying survival explorers humanity team explorers travel wormhole space attempt ensure humanitys survival dying earth team explorers travel wormhole space attempt ensure humanitys survival dying earth hoytevanhoytema hoytevanhoytema hanszimmer hanszimmer jonathannolan christophernolan jonathannolan christophernolan cult 2010s good highlyrated blockbuster mainstream popular trending generalaudience paramount primevideo
12,Spirited Away,Animation|Fantasy|Adventure,fun,2001,96,0.8,0,cult|family-safe,"A young girl wanders into a world of spirits ruled by gods, witches, and strange creatures, and must find the courage to free herself and her parents.",Hayao Miyazaki,"Rumi Hiiragi, Miyu Irino, Mari Natsuki","creatures, wanders, young, ruled, spirits, courage, world, herself, into, gods, adventure, animation, fantasy",animationfantasyadventure animationfantasyadventure animationfantasyadventure fun fun hayaomiyazaki hayaomiyazaki hayaomiyazaki hayaomiyazaki rumihiiragi miyuirino marinatsuki rumihiiragi miyuirino marinatsuki creatures wanders young ruled spirits courage world into gods adventure animation fantasy young girl wanders into world spirits ruled gods witches strange creatures must find courage free parents young girl wanders into world spirits ruled gods witches strange creatures must find courage free parents atsushiokui atsushiokui joehisaishi joehisaishi hayaomiyazaki hayaomiyazaki cult familysafe 2000s excellent masterpiece highquality popular known familyfriendly allages kidssafe netflix hbomax
13,The Wolf of Wall Street,Crime|Comedy|Drama,fun,2013,79,0.9,18,,"Based on the true story of Jordan Belfort, a wealthy stockbroker who ran a massive securities fraud scheme.",Martin Scorsese,"Leonardo DiCaprio, Jonah Hill, Margot Robbie","massive, jordan, wealthy, fraud, story, scheme, true, stockbroker, securities, drama, belfort, crime, comedy",crimecomedydrama crimecomedydrama crimecomedydrama fun fun martinscorsese martinscorsese martinscorsese martinscorsese leonardodicaprio jonahhill margotrobbie leonardodicaprio jonahhill margotrobbie massive jordan wealthy fraud story scheme true stockbroker securities drama belfort crime comedy based true story jordan belfort wealthy stockbroker ran massive securities fraud scheme based true story jordan belfort wealthy stockbroker ran massive securities fraud scheme rodrigoprieto rodrigoprieto terencewinter terencewinter 2010s average decent blockbuster mainstream popular trending mature adultcontent rrated paramount primevideo
14,Up,Animation|Adventure|Comedy,emotional,2009,88,0.8,0,family-safe,"An elderly widower ties thousands of balloons to his house and flies to South America, accidentally taking a young stowaway along for the ride.","Pete Docter, Bob Peterson","Ed Asner, Jordan Nagai, Christopher Plummer","balloons, young, ties, south, ride, adventure, widower, flies, comedy, thousands, animation, elderly, accidentally",animationadventurecomedy animationadventurecomedy animationadventurecomedy emotional emotional petedocter bobpeterson petedocter bobpeterson petedocter bobpeterson petedocter bobpeterson edasner jordannagai christopherplummer edasner jordannagai christopherplummer balloons young ties south ride adventure widower flies comedy thousands animation elderly accidentally elderly widower ties thousands balloons house flies south america accidentally taking young stowaway along ride elderly widower ties thousands balloons house flies south america accidentally taking young stowaway along ride patricklin jeanclaudekalache patricklin jeanclaudekalache michaelgiacchino michaelgiacchino petedocter bobpeterson petedocter bobpeterson familysafe 2000s good highlyrated popular known familyfriendly allages kidssafe disney
15,Moonlight,Drama,emotional,2016,92,0.7,18,underrated,"A timeless story of human self-discovery and connection, told across three defining chapters in the life of a young Black man growing up in Miami.",Barry Jenkins,"Trevante Rhodes, André Holland, Janelle Monáe","young, miami, black, told, human, story, timeless, discovery, drama, chapters, self",drama drama drama emotional emotional barryjenkins barryjenkins barryjenkins barryjenkins trevanterhodes andréholland janellemonáe trevanterhodes andréholland janellemonáe young miami black told human story timeless discovery drama chapters self timeless story human selfdiscovery connection told across three defining chapters life young black man growing miami timeless story human selfdiscovery connection told across three defining chapters life young black man growing miami jameslaxton jameslaxton nicholasbritell nicholasbritell barryjenkins tarellalvinmccraney barryjenkins tarellalvinmccraney underrated 2010s excellent masterpiece highquality popular known mature adultcontent rrated primevideo appletv
16,The Matrix,Sci-Fi|Action,intense,1999,83,0.9,16,cult,A computer hacker learns about the true nature of reality and his role in the war against its controllers.,"Lana Wachowski, Lilly Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss","role, against, controllers, about, sci-fi, nature, true, hacker, computer, reality, action, learns",scifiaction scifiaction scifiaction intense intense lanawachowski lillywachowski lanawachowski lillywachowski lanawachowski lillywachowski lanawachowski lillywachowski keanureeves laurencefishburne carrieannemoss keanureeves laurencefishburne carrieannemoss role controllers scifi nature true hacker computer reality action learns computer hacker learns true nature reality role war controllers computer hacker learns true nature reality role war controllers billpope billpope dondavis dondavis lanawachowski lillywachowski lanawachowski lillywachowski cult 1990s good highlyrated blockbuster mainstream popular trending teenplus hbomax primevideo
17,Lost in Translation,Drama|Romance,relaxing,2003,80,0.6,13,underrated,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,Sofia Coppola,"Bill Murray, Scarlett Johansson, Giovanni Ribisi","form, neglected, young, woman, unlikely, paths, tokyo, romance, drama, star, faded, after",dramaromance dramaromance dramaromance relaxing relaxing sofiacoppola sofiacoppola sofiacoppola sofiacoppola billmurray scarlettjohansson giovanniribisi billmurray scarlettjohansson giovanniribisi form neglected young woman unlikely paths tokyo romance drama star faded faded movie star neglected young woman form unlikely bond crossing paths tokyo faded movie star neglected young woman form unlikely bond crossing paths tokyo lanceacord lanceacord kevinshields brianreitzell kevinshields brianreitzell sofiacoppola sofiacoppola underrated 2000s good highlyrated niche indie hiddengem generalaudience primevideo appletv
18,Mad Max: Fury Road,Action|Sci-Fi,intense,2015,90,0.8,16,cult,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a drifter named Max.",George Miller,"Tom Hardy, Charlize Theron, Nicholas Hoult","named, ruler, against, apocalyptic, woman, post, rebels, homeland, wasteland, search, action, sci-fi",actionscifi actionscifi actionscifi intense intense georgemiller georgemiller georgemiller georgemiller tomhardy charlizetheron nicholashoult tomhardy charlizetheron nicholashoult named ruler apocalyptic woman post rebels homeland wasteland search action scifi postapocalyptic wasteland woman rebels tyrannical ruler search homeland aid drifter named max postapocalyptic wasteland woman rebels tyrannical ruler search homeland aid drifter named max johnseale johnseale junkiexltomholkenborg junkiexltomholkenborg georgemiller brendanmccarthy nicolathouris georgemiller brendanmccarthy nicolathouris cult 2010s excellent masterpiece highquality popular known teenplus hbomax primevideo
19,The Truman Show,Comedy|Drama,emotional,1998,83,0.8,0,cult|family-safe,"An insurance salesman discovers his whole life is actually a giant TV show, and everyone around him is acting.",Peter Weir,"Jim Carrey, Laura Linney, Ed Harris","around, actually, everyone, drama, comedy, insurance, life, discovers, show, giant, salesman, acting",comedydrama comedydrama comedydrama emotional emotional peterweir peterweir peterweir peterweir jimcarrey lauralinney edharris jimcarrey lauralinney edharris around actually everyone drama comedy insurance life discovers show giant salesman acting insurance salesman discovers whole life actually giant tv show everyone around acting insurance salesman discovers whole life actually giant tv show everyone around acting peterbiziou peterbiziou burkharddallwitz philipglass burkharddallwitz philipglass andrewniccol andrewniccol cult familysafe 1990s good highlyrated popular known familyfriendly allages kidssafe paramount primevideo
20,Amélie,Romance|Comedy,fun,2001,85,0.7,13,underrated,"A shy waitress in Montmartre decides to change the lives of those around her for the better, while struggling with her own isolation.",Jean-Pierre Jeunet,"Audrey Tautou, Mathieu Kassovitz, Rufus","around, lives, montmartre, waitress, those, decides, romance, change, struggling, while, better, comedy",romancecomedy romancecomedy romancecomedy fun fun jeanpierrejeunet jeanpierrejeunet jeanpierrejeunet jeanpierrejeunet audreytautou mathieukassovitz rufus audreytautou mathieukassovitz rufus around lives montmartre waitress decides romance change struggling better comedy shy waitress montmartre decides change lives around better struggling isolation shy waitress montmartre decides change lives around better struggling isolation brunodelbonnel brunodelbonnel yanntiersen yanntiersen jeanpierrejeunet guillaumelaurant jeanpierrejeunet guillaumelaurant underrated 2000s good highlyrated popular known generalaudience primevideo appletv
21,Fight Club,Drama|Thriller,intense,1999,79,0.9,18,cult,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into something much more.,David Fincher,"Brad Pitt, Edward Norton, Helena Bonham Carter","form, much, something, fight, worker, underground, into, club, office, maker, drama, thriller",dramathriller dramathriller dramathriller intense intense davidfincher davidfincher davidfincher davidfincher bradpitt edwardnorton helenabonhamcarter bradpitt edwardnorton helenabonhamcarter form much something fight worker underground into club office maker drama thriller insomniac office worker devilmaycare soap maker form underground fight club evolves into something much insomniac office worker devilmaycare soap maker form underground fight club evolves into something much jeffcronenweth jeffcronenweth thedustbrothers thedustbrothers jimuhls jimuhls cult 1990s average decent blockbuster mainstream popular trending mature adultcontent rrated primevideo hulu
22,Inside Out,Animation|Comedy|Family,emotional,2015,94,0.8,0,family-safe,"After young Riley is uprooted from her Midwest life, her emotions — Joy, Fear, Anger, Disgust and Sadness — conflict on how to navigate a new city.","Pete Docter, Ronnie del Carmen","Amy Poehler, Bill Hader, Lewis Black","young, fear, conflict, midwest, navigate, riley, emotions, family, animation, life, anger, city, comedy",animationcomedyfamily animationcomedyfamily animationcomedyfamily emotional emotional petedocter ronniedelcarmen petedocter ronniedelcarmen petedocter ronniedelcarmen petedocter ronniedelcarmen amypoehler billhader lewisblack amypoehler billhader lewisblack young fear conflict midwest navigate riley emotions family animation life anger city comedy young riley uprooted midwest life emotions joy fear anger disgust sadness conflict navigate new city young riley uprooted midwest life emotions joy fear anger disgust sadness conflict navigate new city patricklin patricklin michaelgiacchino michaelgiacchino petedocter meglefauve joshcooley petedocter meglefauve joshcooley familysafe 2010s excellent masterpiece highquality popular known familyfriendly allages kidssafe disney
23,No Country for Old Men,Thriller|Crime,intense,2007,86,0.8,18,cult,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and a suitcase full of cash in the desert.,"Joel Coen, Ethan Coen","Javier Bardem, Josh Brolin, Tommy Lee Jones","hunter, violence, full, suitcase, stumbles, drug, deal, mayhem, crime, upon, thriller, wrong",thrillercrime thrillercrime thrillercrime intense intense joelcoen ethancoen joelcoen ethancoen joelcoen ethancoen joelcoen ethancoen javierbardem joshbrolin tommyleejones javierbardem joshbrolin tommyleejones hunter violence full suitcase stumbles drug deal mayhem crime upon thriller wrong violence mayhem ensue hunter stumbles upon drug deal gone wrong suitcase full cash desert violence mayhem ensue hunter stumbles upon drug deal gone wrong suitcase full cash desert rogerdeakins rogerdeakins carterburwell carterburwell joelcoen ethancoen joelcoen ethancoen cult 2000s good highlyrated popular known mature adultcontent rrated paramount primevideo
24,WALL-E,Animation|Sci-Fi|Family,relaxing,2008,95,0.8,0,family-safe|cult,"In a distant future, a small waste-collecting robot inadvertently embarks on a space journey that will decide the fate of mankind.",Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin","embarks, mankind, future, collecting, small, will, family, animation, inadvertently, waste, journey, decide, sci-fi",animationscififamily animationscififamily animationscififamily relaxing relaxing andrewstanton andrewstanton andrewstanton andrewstanton benburtt elissaknight jeffgarlin benburtt elissaknight jeffgarlin embarks mankind future collecting small family animation inadvertently waste journey decide scifi distant future small wastecollecting robot inadvertently embarks space journey decide fate mankind distant future small wastecollecting robot inadvertently embarks space journey decide fate mankind jeremylasky daniellefeinberg jeremylasky daniellefeinberg thomasnewman thomasnewman andrewstanton petedocter andrewstanton petedocter familysafe cult 2000s excellent masterpiece highquality popular known familyfriendly allages kidssafe disney
25,Her,Sci-Fi|Romance|Drama,emotional,2013,82,0.7,13,underrated,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",Spike Jonze,"Joaquin Phoenix, Scarlett Johansson, Amy Adams","writer, operating, meet, near, future, unlikely, relationship, romance, drama, develops, every, need, sci-fi",scifiromancedrama scifiromancedrama scifiromancedrama emotional emotional spikejonze spikejonze spikejonze spikejonze joaquinphoenix scarlettjohansson amyadams joaquinphoenix scarlettjohansson amyadams writer operating meet near future unlikely relationship romance drama develops every need scifi near future lonely writer develops unlikely relationship operating system designed meet every need near future lonely writer develops unlikely relationship operating system designed meet every need hoytevanhoytema hoytevanhoytema arcadefire owenpallett arcadefire owenpallett spikejonze spikejonze underrated 2010s good highlyrated popular known generalaudience primevideo appletv
26,The Dark Knight,Action|Crime|Drama,intense,2008,90,1.0,13,cult,"Batman raises the stakes in his war on crime, facing off against the Joker, a criminal mastermind who wreaks havoc on Gotham City.",Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart","mastermind, criminal, against, batman, gotham, havoc, drama, wreaks, joker, stakes, raises, crime, action",actioncrimedrama actioncrimedrama actioncrimedrama intense intense christophernolan christophernolan christophernolan christophernolan christianbale heathledger aaroneckhart christianbale heathledger aaroneckhart mastermind criminal batman gotham havoc drama wreaks joker stakes raises crime action batman raises stakes war crime facing joker criminal mastermind wreaks havoc gotham city batman raises stakes war crime facing joker criminal mastermind wreaks havoc gotham city wallypfister wallypfister hanszimmer jamesnewtonhoward hanszimmer jamesnewtonhoward jonathannolan christophernolan jonathannolan christophernolan cult 2000s excellent masterpiece highquality blockbuster mainstream popular trending generalaudience hbomax primevideo
27,Paddington 2,Comedy|Family|Adventure,fun,2017,93,0.7,0,family-safe|underrated,"Paddington, now settled with the Brown family in London, picks up a series of odd jobs to buy the perfect present, but must clear his name when the gift is stolen.",Paul King,"Ben Whishaw, Hugh Grant, Hugh Bonneville","paddington, series, perfect, present, jobs, clear, name, gift, family, adventure, brown, comedy",comedyfamilyadventure comedyfamilyadventure comedyfamilyadventure fun fun paulking paulking paulking paulking benwhishaw hughgrant hughbonneville benwhishaw hughgrant hughbonneville paddington series perfect present jobs clear name gift family adventure brown comedy paddington settled brown family london picks series odd jobs buy perfect present must clear name gift stolen paddington settled brown family london picks series odd jobs buy perfect present must clear name gift stolen erikwilson erikwilson dariomarianelli dariomarianelli paulking simonfarnaby paulking simonfarnaby familysafe underrated 2010s excellent masterpiece highquality popular known familyfriendly allages kidssafe netflix primevideo
28,Eternal Sunshine of the Spotless Mind,Romance|Drama|Sci-Fi,emotional,2004,82,0.8,16,cult|underrated,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",Michel Gondry,"Jim Carrey, Kate Winslet, Kirsten Dunst","have, turns, procedure, relationship, sci-fi, romance, their, drama, medical, sour, other, each, memories",romancedramascifi romancedramascifi romancedramascifi emotional emotional michelgondry michelgondry michelgondry michelgondry jimcarrey katewinslet kirstendunst jimcarrey katewinslet kirstendunst turns procedure relationship scifi romance drama medical sour memories relationship turns sour couple undergoes medical procedure erased memories relationship turns sour couple undergoes medical procedure erased memories ellenkuras ellenkuras jonbrion jonbrion charliekaufman charliekaufman cult underrated 2000s good highlyrated popular known teenplus peacock primevideo
29,John Wick,Action|Thriller,intense,2014,75,0.8,18,,An ex-hitman comes out of retirement to track down the gangsters that killed his dog and took everything from him.,"Chad Stahelski, David Leitch","Keanu Reeves, Michael Nyqvist, Alfie Allen","everything, killed, gangsters, down, track, retirement, took, comes, hitman, action, thriller",actionthriller actionthriller actionthriller intense intense chadstahelski davidleitch chadstahelski davidleitch chadstahelski davidleitch chadstahelski davidleitch keanureeves michaelnyqvist alfieallen keanureeves michaelnyqvist alfieallen everything killed gangsters track retirement took comes hitman action thriller exhitman comes retirement track gangsters killed dog took everything exhitman comes retirement track gangsters killed dog took everything jonathansela jonathansela tylerbates joeljrichard tylerbates joeljrichard derekkolstad derekkolstad 2010s average decent popular known mature adultcontent rrated peacock primevideo
30,Ratatouille,Animation|Comedy|Family,fun,2007,92,0.8,0,family-safe,A rat named Remy dreams of becoming a great chef and tries to achieve his goal by forming an alliance with a Parisian restaurant's garbage boy.,"Brad Bird, Jan Pinkava","Patton Oswalt, Ian Holm, Lou Romano","named, goal, remy, alliance, great, becoming, dreams, forming, parisian, animation, family, achieve, comedy",animationcomedyfamily animationcomedyfamily animationcomedyfamily fun fun bradbird janpinkava bradbird janpinkava bradbird janpinkava bradbird janpinkava pattonoswalt ianholm louromano pattonoswalt ianholm louromano named goal remy alliance great becoming dreams forming parisian animation family achieve comedy rat named remy dreams becoming great chef tries achieve goal forming alliance parisian restaurants garbage boy rat named remy dreams becoming great chef tries achieve goal forming alliance parisian restaurants garbage boy robertanderson sharoncalahan robertanderson sharoncalahan michaelgiacchino michaelgiacchino bradbird janpinkava bradbird janpinkava familysafe 2000s excellent masterpiece highquality popular known familyfriendly allages kidssafe disney
31,The Departed,Crime|Thriller|Drama,intense,2006,85,0.8,18,cult,An undercover cop and a mole in the police try to identify each other while infiltrating an Irish gang in Boston.,Martin Scorsese,"Leonardo DiCaprio, Matt Damon, Jack Nicholson","identify, police, irish, mole, infiltrating, drama, undercover, other, each, crime, while, boston, thriller",crimethrillerdrama crimethrillerdrama crimethrillerdrama intense intense martinscorsese martinscorsese martinscorsese martinscorsese leonardodicaprio mattdamon jacknicholson leonardodicaprio mattdamon jacknicholson identify police irish mole infiltrating drama undercover crime boston thriller undercover cop mole police try identify infiltrating irish gang boston undercover cop mole police try identify infiltrating irish gang boston michaelballhaus michaelballhaus howardshore howardshore williammonahan williammonahan cult 2000s good highlyrated popular known mature adultcontent rrated hbomax primevideo
32,Howl's Moving Castle,Animation|Fantasy|Romance,relaxing,2004,87,0.7,0,family-safe|cult,"When a young hat-maker is turned into an old woman by a witch's curse, she finds refuge in the magical moving castle of the wizard Howl.",Hayao Miyazaki,"Chieko Baishō, Takuya Kimura, Akihiro Miwa","witch, turned, young, curse, wizard, howl, into, woman, maker, magical, romance, animation, fantasy",animationfantasyromance animationfantasyromance animationfantasyromance relaxing relaxing hayaomiyazaki hayaomiyazaki hayaomiyazaki hayaomiyazaki chiekobaishō takuyakimura akihiromiwa chiekobaishō takuyakimura akihiromiwa witch turned young curse wizard howl into woman maker magical romance animation fantasy young hatmaker turned into old woman witchs curse finds refuge magical moving castle wizard howl young hatmaker turned into old woman witchs curse finds refuge magical moving castle wizard howl atsushiokui atsushiokui joehisaishi joehisaishi hayaomiyazaki hayaomiyazaki familysafe cult 2000s good highlyrated popular known familyfriendly allages kidssafe netflix hbomax
